company_type;name;region;working_place;investments, milliom UAH;longitude;latitude;sf_coordinates
Working_Factories;Швейна фабрика;Херсонська;75;NA;33.489873;46.812651;c(33.489873, 46.812651)
Working_Factories;Лінія по виготовленню паливних брикетів із соломи;Вінницька;NA;NA;27.76134;48.804785;c(27.76134, 48.804785)
Working_Factories;Завод з виготовлення SMD-модулів Flylights Factory;Київ;NA;NA;30.568179;50.402745;c(30.568179, 50.402745)
Working_Factories;Хлібзавод;Чернігівська;NA;96;31.261227;51.482259;c(31.261227, 51.482259)
Working_Factories;Завод по виробництву хімічно чистих добрив;Херсонська;30;23;33.498307;46.802145;c(33.498307, 46.802145)
Working_Factories;"Завод ""Термо-Пак""";Київська;NA;NA;30.124451;49.802643;c(30.124451, 49.802643)
Working_Factories;Завод з виробництва будівельних виробів із бетону;Івано-Франківська;NA;NA;23.911244;48.933807;c(23.911244, 48.933807)
Working_Factories;Кондитерський цех;Черкаська;200;NA;31.733937;49.23259;c(31.733937, 49.23259)
Working_Factories;Швейна фабрика;Тернопільська;46;NA;25.795098;49.013981;c(25.795098, 49.013981)
Working_Factories;"Швейна фабрика ""Мануфактура""";Тернопільська;70;NA;24.940659;49.516677;c(24.940659, 49.516677)
Working_Factories;"Філія швейної фабрики ""ВіД""";Херсонська;100;0.4;32.520127;46.521095;c(32.520127, 46.521095)
Working_Factories;"Філія швейної фабрики ""ВіД""";Херсонська;20;NA;34.806818;46.178433;c(34.806818, 46.178433)
Working_Factories;"Філія швейної фабрики ""ВіД""";Миколаївська;NA;NA;32.806177;47.07537;c(32.806177, 47.07537)
Working_Factories;"Філія швейної фабрики ""ВіД""";Херсонська;NA;NA;32.722564;46.603835;c(32.722564, 46.603835)
Working_Factories;"Філія швейної фабрики ""Gregory Arber""";Миколаївська;NA;10;31.316037;47.574194;c(31.316037, 47.574194)
Working_Factories;Завод із виробництва світлодіодних світильників;Львівська;NA;NA;23.939177;49.871235;c(23.939177, 49.871235)
Working_Factories;Верстатобудівний завод;Черкаська;20;NA;32.161496;49.606681;c(32.161496, 49.606681)
Working_Factories;Комбінат баранкових виробів;Черкаська;100;NA;31.04554;49.019424;c(31.04554, 49.019424)
Working_Factories;Завод з виробництва комбікормів, молочна ферма, машинно-тракторний парк;Житомирська;NA;160;29.619141;49.954147;c(29.619141, 49.954147)
Working_Factories;"Завод з виробництва органічних олій ""Укролія органік""";Полтавська;NA;NA;34.591271;49.835884;c(34.591271, 49.835884)
Working_Factories;Завод з виробництва кабельної продукції;Вінницька;700;NA;28.847408;48.974952;c(28.847408, 48.974952)
Working_Factories;Завод із дроблення каменю;Тернопільська;50;47;25.878362;49.596763;c(25.878362, 49.596763)
Working_Factories;Завод з переробки насіння соняшнику;Кіровоградська;146;NA;33.283856;49.110899;c(33.283856, 49.110899)
Working_Factories;Насіннєвий завод;Житомирська;NA;NA;29.605908;49.94262;c(29.605908, 49.94262)
Working_Factories;Виробничий комплекс по переробці насіння соняшнику;Кіровоградська;20;2;32.666705;48.723868;c(32.666705, 48.723868)
Working_Factories;Завод по переробці сої;Кіровоградська;200;80;33.284091;49.109971;c(33.284091, 49.109971)
Working_Factories;Завод з виробництва хімічних реактивів;Черкаська;NA;NA;32.059343;49.399762;c(32.059343, 49.399762)
Working_Factories;Маслоекстрактний цех по переробці насіння соняшнику;Кіровоградська;20;2;32.75345;48.14063;c(32.75345, 48.14063)
Working_Factories;Олійноекстракційний завод по переробці сої;Кіровоградська;382;NA;33.293287;49.118365;c(33.293287, 49.118365)
Working_Factories;Завод з виробництва будівельних матеріалів;Івано-Франківська;40;2080;25.107806;48.756752;c(25.107806, 48.756752)
Working_Factories;Завод з виробництва будівельних матеріалів та душових модулів;Вінницька;10;2.88;28.682026;49.107833;c(28.682026, 49.107833)
Working_Factories;Деревообробний комбінат;Житомирська;356;NA;28.642321;50.97008;c(28.642321, 50.97008)
Working_Factories;Сирний завод;Харківська;NA;NA;37.382294;50.060004;c(37.382294, 50.060004)
Working_Factories;Завод з виробництва вівсяних пластівців;Чернігівська;100;NA;31.073148;51.452814;c(31.073148, 51.452814)
Working_Factories;Молокопереробний завод;Львівська;NA;NA;23.851616;49.207085;c(23.851616, 49.207085)
Working_Factories;Горіховий центр;Черкаська;NA;10;32.085306;49.313132;c(32.085306, 49.313132)
Working_Factories;Завод з переробки сміття;Закарпатська;80;NA;22.677985;48.280051;c(22.677985, 48.280051)
Working_Factories;Фабрика із виробництва м'яких меблів;Львівська;NA;NA;23.809855;49.946416;c(23.809855, 49.946416)
Working_Factories;Завод з виробництва паливних брикетів із соломи, лози та дерева;Одеська;NA;NA;30.241351;46.633932;c(30.241351, 46.633932)
Working_Factories;Завод бджолярської продукції;Сумська;10;NA;34.472995;50.580932;c(34.472995, 50.580932)
Working_Factories;Завод з виробництва дентальних імплантатів;Дніпропетровська;NA;NA;35.046183;48.464717;c(35.046183, 48.464717)
Working_Factories;Бісквітний комплекс;Дніпропетровська;120;120;35.0956;48.509563;c(35.0956, 48.509563)
Working_Factories;Завод з виробництва біоетанолу;Волинська;100;NA;25.302091;50.699502;c(25.302091, 50.699502)
Working_Factories;Завод з виробництва запашних спиртовмісних речовин та оцту;Львівська;NA;NA;23.729215;49.724124;c(23.729215, 49.724124)
Working_Factories;Завод з виробництва сонячних панелей;Запорізька;NA;NA;34.634186;47.501507;c(34.634186, 47.501507)
Working_Factories;Ливарний завод;Запорізька;NA;38;35.38332;46.827512;c(35.38332, 46.827512)
Working_Factories;Завод мінеральних добрив;Черкаська;NA;150;31.946041;49.315325;c(31.946041, 49.315325)
Working_Factories;Завод з виробництва рідких добрив;Одеська;NA;NA;29.673583;46.020323;c(29.673583, 46.020323)
Working_Factories;Завод з виробництва м'яких меблів;Львівська;540;NA;24.244641;50.008577;c(24.244641, 50.008577)
Working_Factories;Завод з переробки томатів;Миколаївська;110;NA;32.811242;47.09211;c(32.811242, 47.09211)
Working_Factories;Комплекс з переробки радіоактивних відходів;Рівненська;NA;342;25.893129;51.328277;c(25.893129, 51.328277)
Working_Factories;Цех по виробництву паливних брикетів;Кіровоградська;3;NA;32.764772;48.111142;c(32.764772, 48.111142)
Working_Factories;Цех екстракції масляних культур;Кіровоградська;20;2;32.712222;48.115833;c(32.712222, 48.115833)
Working_Factories;Міні-цех по переробці молока;Кіровоградська;NA;2;32.727549;48.913973;c(32.727549, 48.913973)
Working_Factories;Цех з екстракції рослинної олії;Кіровоградська;10;20;30.4441;48.377361;c(30.4441, 48.377361)
Working_Factories;Цех рафінації й дезoдoрaції oлії тa цех рoзливу oлії;Кіровоградська;100;NA;32.183144;48.512766;c(32.183144, 48.512766)
Working_Factories;Швейний цех;Кіровоградська;40;NA;32.775249;48.117413;c(32.775249, 48.117413)
Working_Factories;Цех з пошиття взуття;Дніпропетровська;NA;NA;35.27727;48.403358;c(35.27727, 48.403358)
Working_Factories;Взуттєва фабрика Zirka Manufaktura;Черкаська;240;NA;32.700087;49.06224;c(32.700087, 49.06224)
Working_Factories;Підприємство з виробництва виробів з м’яса;Кіровоградська;NA;NA;32.262654;48.517996;c(32.262654, 48.517996)
Working_Factories;Сироварний цех;Сумська;NA;NA;34.807184;50.881923;c(34.807184, 50.881923)
Working_Factories;Сироварний цех; Чернівецька;NA;1.28;25.967037;48.116858;c(25.967037, 48.116858)
Working_Factories;Меблевий парк;Івано-Франківська;NA;NA;24.726694;48.899657;c(24.726694, 48.899657)
Working_Factories;Виробництво дерев'яного меблевого щита;Сумська;20;NA;34.922616;50.95407;c(34.922616, 50.95407)
Working_Factories;Завод високопротеїнових добавок;Київська;NA;NA;30.485516;49.703406;c(30.485516, 49.703406)
Working_Factories;Олійноекстракційний завод;Харківська;NA;NA;35.867413;49.721849;c(35.867413, 49.721849)
Working_Factories;Завод гарячого цинкування металоконструкцій;Київська;200;NA;31.356847;50.33506;c(31.356847, 50.33506)
Working_Factories;"Завод ""Перша Закарпатська Палинчарня""";Закарпатська;17;NA;22.284197;48.592421;c(22.284197, 48.592421)
Working_Factories;"Завод з виробництва холодильної техніки ""Green cool""";Вінницька;1200;640;28.555966;49.229248;c(28.555966, 49.229248)
Working_Factories;Бетонний завод;Рівненська;NA;NA;27.189334;51.295784;c(27.189334, 51.295784)
Working_Factories;Підприємство з вирощення креветок;Вінницька;35;NA;28.076771;49.048497;c(28.076771, 49.048497)
Working_Factories;Завод складського і підйомно-транспортного устаткування;Дніпропетровська;NA;NA;34.966748;48.465759;c(34.966748, 48.465759)
