Тип підприємства;Підприємство;Область;Кіл-ть робочих місць;Сума інвестицій, млн.грн
Заводи, які будуються;Завод із переробки льону та конопель;Сумська;NA;NA
Заводи, які будуються;"Завод органічних рідин ""Фазор""";Київська;NA;8.4
Заводи, які будуються;Фабрика по виробництву виробів з борошна;Київська;NA;NA
Заводи, які будуються;Завод з переробки рідких радіоактивних відходів;Київська;NA;400
Заводи, які будуються;Завод з виробництва біоетанолу;Одеська;400;NA
Заводи, які будуються;"Завод коркувальних засобів і поліграфічних виробів АТ ""Технологія""";Сумська;200;115
Заводи, які будуються;Цукровий завод;Черкаська;NA;NA
Заводи, які будуються;Завод з виготовлення продукції з полівінілхлориду;Черкаська;1500;NA
Заводи, які будуються;Кондитерська фабрика;Кіровоградська;500;NA
Заводи, які будуються;Підприємство по переробці сільськогосподарської продукції;Кіровоградська;20;6
Заводи, які будуються;Сміттєпереробний завод;Львівська;NA;NA
Заводи, які будуються;Сміттєпереробна лінія;Вінницька;NA;4
Заводи, які будуються;Сміттєпереробна лінія;Хмельницька;NA;NA
Заводи, які будуються;Борошномельний завод;Київська;NA;NA
Заводи, які будуються;Молокозавод;Вінницька;25;NA
Заводи, які будуються;Завод з виробництва сонячних панелей;Вінницька;NA;NA
Заводи, які будуються;Завод комплектуючих для авто;Івано-Франківська;NA;NA
Заводи, які будуються;Цегельний завод;Тернопільська;NA;NA
Заводи, які будуються;М'ясопереробний завод;Івано-Франківська;700;NA
Заводи, які будуються;Хлібопекарський комплекс;Харківська;1e3;NA
Заводи, які будуються;Завод Plank Electrotechnic;Київська;NA;NA
Заводи, які будуються;Завод з виробництва кабельно-провідникової продукції;Хмельницька;500;NA
Заводи, які будуються;Комплекс з гранулювання сульфату амонію;Дніпропетровська;74;211
Заводи, які будуються;Завод з виробництва тканин;Чернігівська;80;130
Електростанції;"Сонячна електростанція ""Лео-Солар-Енерджі""";Львівська;3;30
Електростанції;Сонячна електростанція;Запорізька;7;NA
Електростанції;"Сонячна електростанція ""Дібрівка""";Кіровоградська;2;NA
Електростанції;"Сонячна електростанція ""Білозерка""";Херсонська;NA;NA
Електростанції;"Солнечная электростанция ""Станіславчик""";Вінницька;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;"Сонячна електростанція ""Балки""";Вінницька;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;20
Електростанції;"Сонячна електростанція ""Велітон-2,5""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Верховка-2,8""";Вінницька;NA;NA
Електростанції;"Сонячна електростанція ""Велиген-6,0""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Глубочок""";Вінницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція м.Каховка;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція;Закарпатська;NA;NA
Електростанції;Сонячна електростанція;Вінницька;NA;NA
Електростанції;Сонячна електростанція; Чернівецька;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;25;NA
Електростанції;Сонячна електростанція;Миколаївська;NA;NA
Електростанції;"Сонячна електростанція ""Гута-2""";Закарпатська;NA;NA
Електростанції;Сонячна електростанція СЕ-3;Закарпатська;NA;NA
Електростанції;"Сонячна електростанція ""Кам'янече""";Кіровоградська;10;70
Електростанції;"Сонячна електростанція ""Озерна""";Львівська;NA;NA
Електростанції;"Сонячна електростанція ""Красне""";Одеська;NA;NA
Електростанції;"Сонячна електростанція ""Броварська""";Київська;NA;NA
Електростанції;"Сонячна електростанція ""Фабрика""";Херсонська;NA;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Львівська;NA;NA
Електростанції;Сонячна електростація;Львівська;NA;NA
Електростанції;"Сонячна електроснація ""Яворів""";Львівська;NA;2080
Електростанції;Трифонівська сонячна електростанція;Херсонська;NA;NA
Електростанції;СЕС Солар Парк Веселе;Запорізька;NA;NA
Електростанції;Самбірська сонячна станція-2;Львівська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Чорноминська СЕС 2;Вінницька;NA;NA
Електростанції;Димерська сонячна електростанція;Київська;NA;NA
Електростанції;Геліосистема;Донецька;NA;5
